name,group,Copper_ Cu_mg, Zinc_ Zn_mg, Iron_ Fe_mg, Fiber_ total dietary_g, Energy_kcal, Phosphorus_ P_mg, Calcium_ Ca_mg, Carbohydrate_ by difference_g, Magnesium_ Mg_mg, Manganese_ Mn_mg, Potassium_ K_mg, Protein_g, Sodium_ Na_mg, Vitamin A_ IU_mg, Thiamin_mg, Vitamin B-12_mg, Riboflavin_mg, Niacin_mg, Pantothenic acid_mg, Vitamin B-6_mg, Vitamin B-7_mcg, Vitamin B-9 Folic acid_mcg, Vitamin C_ total ascorbic acid_mg, Vitamin D_mcg, Vitamin E (alpha-tocopherol)_mg, Vitamin K_mcg, Choline_mg,id
AKDENIZ SALATASI,ITU,0.019999999552965164, 0.4399999976158142, 1.1200000047683716, 2.509999990463257, 161.61000061035156, 81.08000183105469, 76.5999984741211, 5.590000152587891, 20.989999771118164, 0.3100000023841858, 314.4100036621094, 2.680000066757202, 217.9499969482422, 10.710000038146973, 0.17000000178813934, 10.569999694824219, 1.659999966621399, 0.8299999833106995, 12.329999923706055, 0.10999999940395355, 1.8200000524520874, 74.33000183105469, 16.350000381469727, 0.029999999329447746, 5.989999771118164, 0.0, 0.0,1
ALACA CORBASI,ITU,0.25, 2.5399999618530273, 2.25, 1.2599999904632568, 177.80999755859375, 178.33999633789062, 31.600000381469727, 16.350000381469727, 52.86000061035156, 1.7699999809265137, 272.3699951171875, 6.820000171661377, 374.42999267578125, 1.559999942779541, 1.850000023841858, 0.0, 0.11999999731779099, 1.0, 0.3700000047683716, 0.5099999904632568, 3.140000104904175, 61.189998626708984, 1.7799999713897705, 0.019999999552965164, 6.889999866485596, 0.0, 0.0,2
ALI NAZIK,ITU,0.18000000715255737, 5.980000019073486, 3.319999933242798, 2.490000009536743, 335.4100036621094, 327.75, 82.83000183105469, 5.46999979019165, 45.790000915527344, 0.17000000178813934, 733.97998046875, 25.6299991607666, 448.0899963378906, 9.180000305175781, 0.15000000596046448, 2.4600000381469727, 0.4099999964237213, 5.389999866485596, 0.9700000286102295, 0.46000000834465027, 1.659999966621399, 37.630001068115234, 11.670000076293945, 0.019999999552965164, 3.319999933242798, 0.0, 0.0,3
ALI PASžA PILAVI,ITU,0.10000000149011612, 0.75, 1.4900000095367432, 0.7300000190734863, 205.97000122070312, 49.9900016784668, 14.890000343322754, 20.850000381469727, 11.699999809265137, 0.14000000059604645, 60.65999984741211, 3.130000114440918, 393.7200012207031, 7.489999771118164, 0.019999999552965164, 0.12999999523162842, 0.019999999552965164, 0.8899999856948853, 0.18000000715255737, 0.07000000029802322, 0.7799999713897705, 4.199999809265137, 0.3499999940395355, 0.09000000357627869, 4.940000057220459, 0.0, 0.0,4
ANDALOZ CORBASI,ITU,0.029999999329447746, 0.15000000596046448, 0.4699999988079071, 0.6200000047683716, 121.58000183105469, 20.899999618530273, 18.209999084472656, 9.479999542236328, 7.21999979019165, 0.07999999821186066, 66.05000305175781, 1.309999942779541, 385.4100036621094, 7.329999923706055, 2.5, 0.0, 0.009999999776482582, 0.4000000059604645, 0.07000000029802322, 0.03999999910593033, 0.36000001430511475, 5.159999847412109, 4.849999904632568, 0.029999999329447746, 4.170000076293945, 0.0, 0.0,5
ANKARA TAVA,ITU,0.25999999046325684, 6.369999885559082, 4.099999904632568, 0.8299999833106995, 461.05999755859375, 309.20001220703125, 25.010000228881836, 17.520000457763672, 37.650001525878906, 0.18000000715255737, 507.2200012207031, 26.3799991607666, 620.6699829101562, 8.210000038146973, 1.059999942779541, 2.7799999713897705, 0.4099999964237213, 6.130000114440918, 1.5199999809265137, 0.41999998688697815, 1.5099999904632568, 17.6200008392334, 5.320000171661377, 0.10000000149011612, 6.800000190734863, 0.0, 0.0,6
ANTEP FISTIKLI BAKLAVA,ITU,0.0, 0.0, 0.0, 0.0, 377.4800109863281, 0.0, 0.0, 57.95000076293945, 0.0, 0.0, 0.0, 4.190000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,7
ANTEP FISTIKLI SARAY SARMA,ITU,0.0, 0.0, 0.0, 0.0, 377.4800109863281, 0.0, 0.0, 57.95000076293945, 0.0, 0.0, 0.0, 4.190000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,8
ANTEP FISTIKLI SARI BURMA,ITU,0.0, 0.0, 0.0, 0.0, 377.4800109863281, 0.0, 0.0, 57.95000076293945, 0.0, 0.0, 0.0, 4.190000057220459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,9
ANTEP FISTIKLI TEL KADAYIF,ITU,0.0, 0.0, 0.0, 0.0, 388.55999755859375, 0.0, 0.0, 65.4000015258789, 0.0, 0.0, 0.0, 2.5899999141693115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,10
